Price_Record_ID,Vendor_ID,Vendor_Name,Paper_Type,Paper_Grade,Brand,GSM,Finish,Color,Sheet_Size_Name (in),SQ. METER,Price_Per_Sheet,Price_Per_Kg,Price_Per_Ream,Sheets_Per_Ream,Stock_Status,MOQ (Sheets),PKT.,Active,,,,
PP030,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,250.0,Special,White,25*36,900,34.56,9600,17280,500.0,1 Day,1.0,100.0,Yes,,,,
PP031,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,250.0,Special,White,28*40,1120,43.7,9754.464286,21850,500.0,1 Day,1.0,100.0,Yes,,,,
PP032,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,310.0,Special,White,25*36,900,42.8,14742.22222,21400,500.0,1 Day,1.0,100.0,Yes,,,,
PP033,VEN001,R.J. ENTERPRISE,Special Paper,ARTIZEN EXTRA SHITE,MOORIM,310.0,Special,White,28*40,1120,54.2,15001.78571,27100,500.0,1 Day,1.0,100.0,Yes,,,,
PP034,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,125.0,Special,White,25*36,900,17.4,2416.666667,8700,500.0,1 Day,1.0,250.0,Yes,,,,
PP035,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,125.0,Special,White,28*40,1120,22.05,2460.9375,11025,500.0,1 Day,1.0,125.0,Yes,,,,
PP036,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,160.0,Special,White,25*36,900,22.1,3928.888889,11050,500.0,1 Day,1.0,125.0,Yes,,,,
PP037,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,160.0,Special,White,28*40,1120,27.95,3992.857143,13975,500.0,1 Day,1.0,125.0,Yes,,,,
PP038,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,220.0,Special,White,25*36,900,30.4,7431.111111,15200,500.0,1 Day,1.0,125.0,Yes,,,,
PP039,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,220.0,Special,White,28*40,1120,38.45,7552.678571,19225,500.0,1 Day,1.0,125.0,Yes,,,,
PP040,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,200.0,Special,White,25*36,900,28.3,6288.888889,14150,500.0,1 Day,1.0,125.0,Yes,,,,
PP041,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,200.0,Special,White,28*40,1120,35.85,6401.785714,17925,500.0,1 Day,1.0,125.0,Yes,,,,
PP042,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,245.0,Special,White,25*36,900,34.4,9364.444444,17200,500.0,1 Day,1.0,125.0,Yes,,,,
PP043,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,245.0,Special,White,28*40,1120,43.55,9526.5625,21775,500.0,1 Day,1.0,125.0,Yes,,,,
PP044,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,285.0,Special,White,25*36,900,40.05,12682.5,20025,500.0,1 Day,1.0,125.0,Yes,,,,
PP045,VEN001,R.J. ENTERPRISE,Special Paper,VINCENT,MOORIM,285.0,Special,White,28*40,1120,50.65,12888.61607,25325,500.0,1 Day,1.0,125.0,Yes,,,,
PP046,VEN001,R.J. ENTERPRISE,Special Paper,S-PLUS,MOORIM,100.0,Special,White,25*36,900,12.3,1366.666667,6150,500.0,1 Day,1.0,250.0,Yes,,,,
PP047,VEN001,R.J. ENTERPRISE,Special Paper,S-PLUS,MOORIM,100.0,Special,White,28*40,1120,15.6,1392.857143,7800,500.0,1 Day,1.0,250.0,Yes,,,,
PP048,VEN001,R.J. ENTERPRISE,Special Paper,S-PLUS,MOORIM,120.0,Special,White,25*36,900,14.65,1953.333333,7325,500.0,1 Day,1.0,250.0,Yes,,,,
PP049,VEN001,R.J. ENTERPRISE,Special Paper,S-PLUS,MOORIM,120.0,Special,White,28*40,1120,17.8,1907.142857,8900,500.0,1 Day,1.0,250.0,Yes,,,,
PP050,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,120.0,Special,White,25.2*35.4,892.08,25.25,3396.556363,12625,500.0,1 Day,1.0,250.0,Yes,,,,
PP051,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,32.25,3410.202409,16125,500.0,1 Day,1.0,250.0,Yes,,,,
PP052,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,145.0,Special,White,25.2*35.4,892.08,30.5,4957.515021,15250,500.0,1 Day,1.0,250.0,Yes,,,,
PP053,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,145.0,Special,White,28.3*40.1,1134.83,39.0,4983.125226,19500,500.0,1 Day,1.0,250.0,Yes,,,,
PP054,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,170.0,Special,White,25.2*35.4,892.08,35.75,6812.7298,17875,500.0,1 Day,1.0,250.0,Yes,,,,
PP055,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,170.0,Special,White,28.3*40.1,1134.83,45.75,6853.449415,22875,500.0,1 Day,1.0,250.0,Yes,,,,
PP056,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,200.0,Special,White,25.2*35.4,892.08,41.75,9360.147072,20875,500.0,1 Day,1.0,125.0,Yes,,,,
PP057,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,200.0,Special,White,28.3*40.1,1134.83,53.25,9384.665545,26625,500.0,1 Day,1.0,125.0,Yes,,,,
PP058,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,240.0,Special,White,25.2*35.4,892.08,50.0,13451.70837,25000,500.0,1 Day,1.0,125.0,Yes,,,,
PP059,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,240.0,Special,White,28.3*40.1,1134.83,63.75,13482.19557,31875,500.0,1 Day,1.0,125.0,Yes,,,,
PP060,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,280.0,Special,White,25.2*35.4,892.08,58.25,18283.11362,29125,500.0,1 Day,1.0,125.0,Yes,,,,
PP061,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. WHITE,CARDINAL,280.0,Special,White,28.3*40.1,1134.83,74.25,18319.92457,37125,500.0,1 Day,1.0,125.0,Yes,,,,
PP062,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,120.0,Special,White,25.2*35.4,892.08,25.25,3396.556363,12625,500.0,1 Day,1.0,250.0,Yes,,,,
PP063,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,32.25,3410.202409,16125,500.0,1 Day,1.0,250.0,Yes,,,,
PP064,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,145.0,Special,White,25.2*35.4,892.08,30.5,4957.515021,15250,500.0,1 Day,1.0,250.0,Yes,,,,
PP065,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,145.0,Special,White,28.3*40.1,1134.83,39.0,4983.125226,19500,500.0,1 Day,1.0,250.0,Yes,,,,
PP066,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,200.0,Special,White,25.2*35.4,892.08,41.75,9360.147072,20875,500.0,1 Day,1.0,125.0,Yes,,,,
PP067,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,200.0,Special,White,28.3*40.1,1134.83,53.25,9384.665545,26625,500.0,1 Day,1.0,125.0,Yes,,,,
PP068,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,280.0,Special,White,25.2*35.4,892.08,58.25,18283.11362,29125,500.0,1 Day,1.0,125.0,Yes,,,,
PP069,VEN002,SONAFINE CORPORATION LTD,Special Paper,N.E. IVORY,CARDINAL,280.0,Special,White,28.3*40.1,1134.83,74.25,18319.92457,37125,500.0,1 Day,1.0,125.0,Yes,,,,
PP070,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,100.0,Special,White,25*36,900,18.5,2055.555556,9250,500.0,1 Day,1.0,250.0,Yes,,,,
PP071,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,100.0,Special,White,27.6*39.4,1087.44,22.0,2023.100125,11000,500.0,1 Day,1.0,250.0,Yes,,,,
PP072,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,100.0,Special,White,28.3*40.1,1134.83,23.0,2026.735282,11500,500.0,1 Day,1.0,250.0,Yes,,,,
PP073,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,130.0,Special,White,25*36,900,22.75,3286.111111,11375,500.0,1 Day,1.0,250.0,Yes,,,,
PP074,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,130.0,Special,White,27.6*39.4,1087.44,27.25,3257.650997,13625,500.0,1 Day,1.0,250.0,Yes,,,,
PP075,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,130.0,Special,White,28.3*40.1,1134.83,28.75,3293.444833,14375,500.0,1 Day,1.0,250.0,Yes,,,,
PP076,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,160.0,Special,White,25*36,900,28.0,4977.777778,14000,500.0,1 Day,1.0,250.0,Yes,,,,
PP077,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,160.0,Special,White,27.6*39.4,1087.44,33.75,4965.791216,16875,500.0,1 Day,1.0,250.0,Yes,,,,
PP078,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,160.0,Special,White,28.3*40.1,1134.83,35.25,4969.907387,17625,500.0,1 Day,1.0,250.0,Yes,,,,
PP079,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,190.0,Special,White,25*36,900,33.25,7019.444444,16625,500.0,1 Day,1.0,250.0,Yes,,,,
PP080,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,190.0,Special,White,27.6*39.4,1087.44,40.0,6988.891341,20000,500.0,1 Day,1.0,250.0,Yes,,,,
PP081,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,190.0,Special,White,28.3*40.1,1134.83,42.0,7031.890239,21000,500.0,1 Day,1.0,250.0,Yes,,,,
PP082,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,240.0,Special,White,25*36,900,42.0,11200,21000,500.0,1 Day,1.0,100.0,Yes,,,,
PP083,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,240.0,Special,White,27.6*39.4,1087.44,50.25,11090.26705,25125,500.0,1 Day,1.0,100.0,Yes,,,,
PP084,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,240.0,Special,White,28.3*40.1,1134.83,52.75,11155.85594,26375,500.0,1 Day,1.0,100.0,Yes,,,,
PP085,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,270.0,Special,White,25*36,900,47.25,14175,23625,500.0,1 Day,1.0,100.0,Yes,,,,
PP086,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,270.0,Special,White,27.6*39.4,1087.44,56.75,14090.43258,28375,500.0,1 Day,1.0,100.0,Yes,,,,
PP087,VEN002,SONAFINE CORPORATION LTD,Special Paper,MONTBLANC INSPER EXTRA WHITE,HANSOL,270.0,Special,White,28.3*40.1,1134.83,59.5,14156.30535,29750,500.0,1 Day,1.0,100.0,Yes,,,,
PP088,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,120.0,Special,White,28.3*39.8,1126.34,38.0,4048.511107,19000,500.0,1 Day,1.0,250.0,Yes,,,,
PP089,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,160.0,Special,White,25.2*35.4,892.08,40.0,7174.244462,20000,500.0,1 Day,1.0,250.0,Yes,,,,
PP090,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,160.0,Special,White,28.3*39.8,1126.34,50.5,7173.677575,25250,500.0,1 Day,1.0,250.0,Yes,,,,
PP091,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,200.0,Special,White,28.3*39.8,1126.34,61.5,10920.32601,30750,500.0,1 Day,1.0,125.0,Yes,,,,
PP092,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,240.0,Special,White,25.2*35.4,892.08,58.25,15671.24025,29125,500.0,1 Day,1.0,125.0,Yes,,,,
PP093,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,240.0,Special,White,28.3*39.8,1126.34,73.5,15661.3456,36750,500.0,1 Day,1.0,125.0,Yes,,,,
PP094,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,300.0,Special,White,25.2*39.4,992.88,72.75,21981.50834,36375,500.0,1 Day,1.0,125.0,Yes,,,,
PP095,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE DALI CANDIDO,CARDINAL,300.0,Special,White,28.3*39.8,1126.34,92.0,24504.14617,46000,500.0,1 Day,1.0,125.0,Yes,,,,
PP096,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,120.0,Special,White,28.3*39.8,1126.34,38.0,4048.511107,19000,500.0,1 Day,1.0,125.0,Yes,,,,
PP097,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,160.0,Special,White,25.2*35.4,892.08,40.0,7174.244462,20000,500.0,1 Day,1.0,125.0,Yes,,,,
PP098,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,160.0,Special,White,28.3*39.8,1126.34,50.5,7173.677575,25250,500.0,1 Day,1.0,125.0,Yes,,,,
PP099,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,200.0,Special,White,28.3*39.8,1126.34,61.5,10920.32601,30750,500.0,1 Day,1.0,125.0,Yes,,,,
PP100,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,260.0,Special,White,25.2*35.4,892.08,63.25,18434.44534,31625,500.0,1 Day,1.0,125.0,Yes,,,,
