Rate_Record_ID,Vendor_ID,Vendor_Name,Operation_Category,Operation_Type,CUSTOMER NAME,Pages,Quantity,Quantity(Per Sq. Inch),Applicable_Size,Size in Inchi,Max_Size_Length_MM,Max_Size_Width_MM,Pricing_Unit,Rate per Pcs,Rate per sheet,Rate_A4(per Sq. Inch),Minimum Charges,Rate_A3,Qty_Break_1_Min,Qty_Break_1_Rate,Qty_Break_2_Min,Qty_Break_2_Rate,Lead_Time_Days,Active
PPR054,VEN015,SAMIR PUNCHING,WALL CALENDER,WALL CALENDER (26 PAGES),,13 LEAVES,300.0,,,,420.0,297.0,,21.0,,,,,,,,,,
PPR055,VEN015,SAMIR PUNCHING,WALL CALENDER,WALL CALENDER 11 sheet/1 tracing,IMFA,13 LEAVES,10000.0,,,,134.0,180.0,,15.0,,,,,,,,,,
PPR056,VEN015,SAMIR PUNCHING,TABLE CALENDER,WALL CALENDER 14 PAGES,,7 LEAVE,2000.0,,,,230.0,180.0,,17.0,,,,,,,,,,
PPR057,VEN010,NABAMUDRAN PVT LTD,CUTTING,CUTTING,,0.0,1000.0,,0.0,,,,,,,,,,,,,,,yes
PPR058,VEN010,NABAMUDRAN PVT LTD,LAMINATION,GLOSS LAMINATION,,0.0,0.0,100.0,0.0,,,,,,,0.4,,,,,,,,yes
PPR059,VEN010,NABAMUDRAN PVT LTD,LAMINATION,MATT LAMINATION,,,,,,,,,,,,0.45,,,,,,,,yes
PPR060,VEN010,NABAMUDRAN PVT LTD,CENTRE PINING,CENTRE PINING,,,,,,,,,,1.0,,,,,,,,,,yes
PPR061,VEN010,NABAMUDRAN PVT LTD,SECTION SEWING,SECTION SEWING,,160.0,,,,,,,,4.32,,,,,,,,,,yes
PPR062,VEN010,NABAMUDRAN PVT LTD,SECTION SEWING,SECTION SEWING,,16+,,,,,,,,,,,,,,,,,,yes
PPR063,VEN010,NABAMUDRAN PVT LTD,AQUA,AQUA,,,,,,,,,,,,,,,,,,,,yes
PPR064,VEN010,NABAMUDRAN PVT LTD,AQUA,AQUA,,,,,,,,,,,,,,,,,,,,yes
PPR065,VEN011,BALAJI PRINTING SOLUTION,GLOSS AQUA,GLOSS AQUA,,,,,,,,,,,,0.12,800.0,,,,,,,yes
PPR066,VEN011,BALAJI PRINTING SOLUTION,MATT AQUA,MATT AQUA,,,,,,,,,,,,0.25,1000.0,,,,,,,yes
